"Date","CUUR0000SEHA"
1931-03-01,NA
1931-04-01,NA
1931-05-01,NA
1931-06-01,29.7
1931-07-01,NA
1931-08-01,NA
1931-09-01,NA
1931-10-01,NA
1931-11-01,NA
1931-12-01,28.6
1932-01-01,NA
1932-02-01,NA
1932-03-01,NA
1932-04-01,NA
1932-05-01,NA
1932-06-01,26.7
1932-07-01,NA
1932-08-01,NA
1932-09-01,NA
1932-10-01,NA
1932-11-01,NA
1932-12-01,24.7
1933-01-01,NA
1933-02-01,NA
1933-03-01,NA
1933-04-01,NA
1933-05-01,NA
1933-06-01,22.7
1933-07-01,NA
1933-08-01,NA
1933-09-01,NA
1933-10-01,NA
1933-11-01,NA
1933-12-01,21.8
1934-01-01,NA
1934-02-01,NA
1934-03-01,NA
1934-04-01,NA
1934-05-01,NA
1934-06-01,21.3
1934-07-01,NA
1934-08-01,NA
1934-09-01,NA
1934-10-01,NA
1934-11-01,21.3
1934-12-01,NA
1935-01-01,NA
1935-02-01,NA
1935-03-01,21.3
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,21.4
1935-08-01,NA
1935-09-01,NA
1935-10-01,21.5
1935-11-01,NA
1935-12-01,NA
1936-01-01,21.6
1936-02-01,NA
1936-03-01,NA
1936-04-01,21.7
1936-05-01,NA
1936-06-01,NA
1936-07-01,21.9
1936-08-01,NA
1936-09-01,22
1936-10-01,NA
1936-11-01,NA
1936-12-01,22.3
1937-01-01,NA
1937-02-01,NA
1937-03-01,22.4
1937-04-01,NA
1937-05-01,NA
1937-06-01,22.9
1937-07-01,NA
1937-08-01,NA
1937-09-01,23.2
1937-10-01,NA
1937-11-01,NA
1937-12-01,23.5
1938-01-01,NA
1938-02-01,NA
1938-03-01,23.6
1938-04-01,NA
1938-05-01,NA
1938-06-01,23.7
1938-07-01,NA
1938-08-01,NA
1938-09-01,23.7
1938-10-01,NA
1938-11-01,NA
1938-12-01,23.7
1939-01-01,NA
1939-02-01,NA
1939-03-01,23.7
1939-04-01,NA
1939-05-01,NA
1939-06-01,23.7
1939-07-01,NA
1939-08-01,NA
1939-09-01,23.7
1939-10-01,NA
1939-11-01,NA
1939-12-01,23.7
1940-01-01,NA
1940-02-01,NA
1940-03-01,23.7
1940-04-01,NA
1940-05-01,NA
1940-06-01,23.7
1940-07-01,NA
1940-08-01,NA
1940-09-01,23.8
1940-10-01,23.8
1940-11-01,23.8
1940-12-01,23.8
1941-01-01,23.8
1941-02-01,23.9
1941-03-01,23.9
1941-04-01,24
1941-05-01,24
1941-06-01,24
1941-07-01,24.1
1941-08-01,24.2
1941-09-01,24.3
1941-10-01,24.5
1941-11-01,24.5
1941-12-01,24.6
1942-01-01,24.7
1942-02-01,24.7
1942-03-01,24.8
1942-04-01,24.8
1942-05-01,25
1942-06-01,24.7
1942-07-01,24.6
1942-08-01,24.6
1942-09-01,24.6
1942-10-01,24.6
1942-11-01,24.6
1942-12-01,24.6
1943-01-01,24.6
1943-02-01,24.7
1943-03-01,24.7
1943-04-01,24.7
1943-05-01,24.7
1943-06-01,24.7
1943-07-01,24.7
1943-08-01,24.7
1943-09-01,24.7
1943-10-01,24.7
1943-11-01,24.7
1943-12-01,24.7
1944-01-01,24.7
1944-02-01,24.7
1944-03-01,24.7
1944-04-01,24.7
1944-05-01,24.7
1944-06-01,24.7
1944-07-01,24.8
1944-08-01,24.8
1944-09-01,24.8
1944-10-01,NA
1944-11-01,NA
1944-12-01,24.8
1945-01-01,NA
1945-02-01,NA
1945-03-01,24.8
1945-04-01,NA
1945-05-01,NA
1945-06-01,24.8
1945-07-01,NA
1945-08-01,NA
1945-09-01,24.8
1945-10-01,NA
1945-11-01,NA
1945-12-01,24.9
1946-01-01,NA
1946-02-01,NA
1946-03-01,24.9
1946-04-01,NA
1946-05-01,NA
1946-06-01,25
1946-07-01,NA
1946-08-01,25
1946-09-01,25
1946-10-01,NA
1946-11-01,NA
1946-12-01,NA
1947-01-01,25.1
1947-02-01,25.2
1947-03-01,25.2
1947-04-01,25.3
1947-05-01,25.3
1947-06-01,25.3
1947-07-01,25.5
1947-08-01,25.8
1947-09-01,26.4
1947-10-01,26.7
1947-11-01,26.8
1947-12-01,26.9
1948-01-01,27
1948-02-01,27.1
1948-03-01,27.1
1948-04-01,27.2
1948-05-01,27.3
1948-06-01,27.4
1948-07-01,27.5
1948-08-01,27.6
1948-09-01,27.8
1948-10-01,27.9
1948-11-01,28
1948-12-01,28.1
1949-01-01,28.2
1949-02-01,28.3
1949-03-01,28.4
1949-04-01,28.5
1949-05-01,28.6
1949-06-01,28.6
1949-07-01,28.7
1949-08-01,28.8
1949-09-01,28.9
1949-10-01,29
1949-11-01,29.1
1949-12-01,29.2
1950-01-01,29.4
1950-02-01,29.4
1950-03-01,29.5
1950-04-01,29.5
1950-05-01,29.7
1950-06-01,29.7
1950-07-01,29.8
1950-08-01,29.9
1950-09-01,29.9
1950-10-01,30
1950-11-01,30.1
1950-12-01,30.2
1951-01-01,30.2
1951-02-01,30.4
1951-03-01,30.6
1951-04-01,30.7
1951-05-01,30.8
1951-06-01,30.8
1951-07-01,30.9
1951-08-01,31
1951-09-01,31.2
1951-10-01,31.4
1951-11-01,31.5
1951-12-01,31.6
1952-01-01,31.7
1952-02-01,31.9
1952-03-01,31.9
1952-04-01,31.9
1952-05-01,32.1
1952-06-01,32.1
1952-07-01,32.2
1952-08-01,32.3
1952-09-01,32.3
1952-10-01,32.5
1952-11-01,32.7
1952-12-01,33
1953-01-01,33.1
1953-02-01,33.2
1953-03-01,33.2
1953-04-01,33.4
1953-05-01,33.6
1953-06-01,33.7
1953-07-01,33.8
1953-08-01,34.2
1953-09-01,34.4
1953-10-01,34.6
1953-11-01,34.8
1953-12-01,34.9
1954-01-01,34.9
1954-02-01,34.9
1954-03-01,35
1954-04-01,35
1954-05-01,35.1
1954-06-01,35.1
1954-07-01,35.1
1954-08-01,35.1
1954-09-01,35.2
1954-10-01,35.3
1954-11-01,35.3
1954-12-01,35.4
1955-01-01,35.4
1955-02-01,35.4
1955-03-01,35.5
1955-04-01,35.5
1955-05-01,35.6
1955-06-01,35.6
1955-07-01,35.6
1955-08-01,35.7
1955-09-01,35.7
1955-10-01,35.7
1955-11-01,35.8
1955-12-01,35.8
1956-01-01,35.9
1956-02-01,35.9
1956-03-01,35.9
1956-04-01,36
1956-05-01,36.1
1956-06-01,36.2
1956-07-01,36.4
1956-08-01,36.4
1956-09-01,36.5
1956-10-01,36.5
1956-11-01,36.6
1956-12-01,36.7
1957-01-01,36.7
1957-02-01,36.7
1957-03-01,36.7
1957-04-01,36.8
1957-05-01,36.8
1957-06-01,36.9
1957-07-01,37
1957-08-01,37
1957-09-01,37.1
1957-10-01,37.2
1957-11-01,37.3
1957-12-01,37.3
1958-01-01,37.4
1958-02-01,37.4
1958-03-01,37.5
1958-04-01,37.6
1958-05-01,37.6
1958-06-01,37.6
1958-07-01,37.6
1958-08-01,37.7
1958-09-01,37.8
1958-10-01,37.8
1958-11-01,37.8
1958-12-01,37.9
1959-01-01,37.9
1959-02-01,38
1959-03-01,38
1959-04-01,38.1
1959-05-01,38.1
1959-06-01,38.1
1959-07-01,38.1
1959-08-01,38.2
1959-09-01,38.3
1959-10-01,38.4
1959-11-01,38.4
1959-12-01,38.5
1960-01-01,38.5
1960-02-01,38.5
1960-03-01,38.6
1960-04-01,38.7
1960-05-01,38.7
1960-06-01,38.7
1960-07-01,38.7
1960-08-01,38.8
1960-09-01,38.8
1960-10-01,38.9
1960-11-01,39
1960-12-01,39
1961-01-01,39
1961-02-01,39.1
1961-03-01,39.1
1961-04-01,39.2
1961-05-01,39.2
1961-06-01,39.2
1961-07-01,39.2
1961-08-01,39.2
1961-09-01,39.3
1961-10-01,39.4
1961-11-01,39.4
1961-12-01,39.5
1962-01-01,39.5
1962-02-01,39.5
1962-03-01,39.6
1962-04-01,39.6
1962-05-01,39.7
1962-06-01,39.7
1962-07-01,39.7
1962-08-01,39.8
1962-09-01,39.8
1962-10-01,39.9
1962-11-01,39.9
1962-12-01,39.9
1963-01-01,40
1963-02-01,40
1963-03-01,40
1963-04-01,40
1963-05-01,40
1963-06-01,40.1
1963-07-01,40.1
1963-08-01,40.1
1963-09-01,40.2
1963-10-01,40.3
1963-11-01,40.3
1963-12-01,40.3
1964-01-01,40.3
1964-02-01,40.4
1964-03-01,40.4
1964-04-01,40.5
1964-05-01,40.5
1964-06-01,40.5
1964-07-01,40.5
1964-08-01,40.6
1964-09-01,40.6
1964-10-01,40.7
1964-11-01,40.7
1964-12-01,40.7
1965-01-01,40.7
1965-02-01,40.8
1965-03-01,40.8
1965-04-01,40.9
1965-05-01,40.9
1965-06-01,40.9
1965-07-01,40.9
1965-08-01,41
1965-09-01,41
1965-10-01,41.1
1965-11-01,41.1
1965-12-01,41.1
1966-01-01,41.2
1966-02-01,41.3
1966-03-01,41.3
1966-04-01,41.4
1966-05-01,41.4
1966-06-01,41.4
1966-07-01,41.4
1966-08-01,41.6
1966-09-01,41.6
1966-10-01,41.7
1966-11-01,41.8
1966-12-01,41.8
1967-01-01,41.9
1967-02-01,42
1967-03-01,42
1967-04-01,42.1
1967-05-01,42.1
1967-06-01,42.2
1967-07-01,42.2
1967-08-01,42.3
1967-09-01,42.4
1967-10-01,42.5
1967-11-01,42.5
1967-12-01,42.7
1968-01-01,42.7
1968-02-01,42.8
1968-03-01,42.9
1968-04-01,43
1968-05-01,43.1
1968-06-01,43.2
1968-07-01,43.3
1968-08-01,43.4
1968-09-01,43.5
1968-10-01,43.6
1968-11-01,43.7
1968-12-01,43.8
1969-01-01,43.9
1969-02-01,44.1
1969-03-01,44.1
1969-04-01,44.3
1969-05-01,44.4
1969-06-01,44.5
1969-07-01,44.7
1969-08-01,44.8
1969-09-01,45
1969-10-01,45.2
1969-11-01,45.3
1969-12-01,45.5
1970-01-01,45.6
1970-02-01,45.8
1970-03-01,46
1970-04-01,46.1
1970-05-01,46.2
1970-06-01,46.4
1970-07-01,46.5
1970-08-01,46.7
1970-09-01,46.8
1970-10-01,47.1
1970-11-01,47.2
1970-12-01,47.6
1971-01-01,47.7
1971-02-01,48
1971-03-01,48.1
1971-04-01,48.3
1971-05-01,48.5
1971-06-01,48.7
1971-07-01,48.7
1971-08-01,48.9
1971-09-01,49
1971-10-01,49.2
1971-11-01,49.3
1971-12-01,49.4
1972-01-01,49.6
1972-02-01,49.8
1972-03-01,49.8
1972-04-01,50
1972-05-01,50.1
1972-06-01,50.3
1972-07-01,50.4
1972-08-01,50.5
1972-09-01,50.6
1972-10-01,50.8
1972-11-01,50.9
1972-12-01,51.1
1973-01-01,51.5
1973-02-01,51.7
1973-03-01,51.9
1973-04-01,52
1973-05-01,52.3
1973-06-01,52.4
1973-07-01,52.5
1973-08-01,52.8
1973-09-01,53
1973-10-01,53.2
1973-11-01,53.4
1973-12-01,53.6
1974-01-01,53.9
1974-02-01,54.2
1974-03-01,54.4
1974-04-01,54.6
1974-05-01,54.7
1974-06-01,55
1974-07-01,55.2
1974-08-01,55.4
1974-09-01,55.7
1974-10-01,56
1974-11-01,56.2
1974-12-01,56.5
1975-01-01,56.8
1975-02-01,57.1
1975-03-01,57.2
1975-04-01,57.4
1975-05-01,57.6
1975-06-01,57.8
1975-07-01,58
1975-08-01,58.3
1975-09-01,58.5
1975-10-01,58.8
1975-11-01,59.1
1975-12-01,59.4
1976-01-01,59.6
1976-02-01,60
1976-03-01,60.3
1976-04-01,60.5
1976-05-01,60.7
1976-06-01,61
1976-07-01,61.3
1976-08-01,61.5
1976-09-01,61.8
1976-10-01,62.1
1976-11-01,62.3
1976-12-01,62.6
1977-01-01,63.2
1977-02-01,63.4
1977-03-01,63.7
1977-04-01,64
1977-05-01,64.3
1977-06-01,64.6
1977-07-01,64.9
1977-08-01,65.2
1977-09-01,65.6
1977-10-01,65.9
1977-11-01,66.3
1977-12-01,66.7
1978-01-01,67.1
1978-02-01,67.5
1978-03-01,67.8
1978-04-01,68.2
1978-05-01,68.7
1978-06-01,69.1
1978-07-01,69.4
1978-08-01,69.7
1978-09-01,70.3
1978-10-01,70.7
1978-11-01,71.2
1978-12-01,71.6
1979-01-01,71.9
1979-02-01,72.2
1979-03-01,72.4
1979-04-01,72.7
1979-05-01,73.4
1979-06-01,73.8
1979-07-01,74.3
1979-08-01,75
1979-09-01,75.6
1979-10-01,76.6
1979-11-01,76.9
1979-12-01,77.3
1980-01-01,77.8
1980-02-01,78.4
1980-03-01,78.8
1980-04-01,79
1980-05-01,79.8
1980-06-01,80.7
1980-07-01,81.1
1980-08-01,81.6
1980-09-01,82.4
1980-10-01,83.3
1980-11-01,83.8
1980-12-01,84.3
1981-01-01,84.9
1981-02-01,85.3
1981-03-01,85.8
1981-04-01,86.3
1981-05-01,87
1981-06-01,87.4
1981-07-01,87.8
1981-08-01,88.8
1981-09-01,89.5
1981-10-01,90.2
1981-11-01,90.8
1981-12-01,91.5
1982-01-01,92
1982-02-01,92.3
1982-03-01,92.8
1982-04-01,93
1982-05-01,93.7
1982-06-01,94
1982-07-01,95
1982-08-01,95.5
1982-09-01,95.8
1982-10-01,96.7
1982-11-01,97.2
1982-12-01,97.5
1983-01-01,98.1
1983-02-01,98.5
1983-03-01,98.7
1983-04-01,99.1
1983-05-01,99.3
1983-06-01,99.7
1983-07-01,100.2
1983-08-01,100.6
1983-09-01,101.2
1983-10-01,101.6
1983-11-01,101.9
1983-12-01,102.2
1984-01-01,102.6
1984-02-01,102.9
1984-03-01,103.4
1984-04-01,104.1
1984-05-01,104.4
1984-06-01,104.9
1984-07-01,105.5
1984-08-01,106.1
1984-09-01,106.6
1984-10-01,107.2
1984-11-01,107.6
1984-12-01,108.2
1985-01-01,108.6
1985-02-01,109.2
1985-03-01,109.5
1985-04-01,110
1985-05-01,110.9
1985-06-01,111.4
1985-07-01,111.9
1985-08-01,112.6
1985-09-01,113.1
1985-10-01,114
1985-11-01,114.8
1985-12-01,115.1
1986-01-01,115.5
1986-02-01,115.6
1986-03-01,116.2
1986-04-01,117.4
1986-05-01,117.6
1986-06-01,118
1986-07-01,118.8
1986-08-01,119
1986-09-01,119.6
1986-10-01,120.2
1986-11-01,120.6
1986-12-01,120.8
1987-01-01,121.3
1987-02-01,121.7
1987-03-01,121.8
1987-04-01,122
1987-05-01,122.3
1987-06-01,122.3
1987-07-01,123
1987-08-01,123.8
1987-09-01,124.4
1987-10-01,124.8
1987-11-01,124.8
1987-12-01,125.6
1988-01-01,126
1988-02-01,126.3
1988-03-01,126.4
1988-04-01,126.6
1988-05-01,126.9
1988-06-01,127.3
1988-07-01,127.8
1988-08-01,128.4
1988-09-01,129.1
1988-10-01,129.4
1988-11-01,129.8
1988-12-01,130.1
1989-01-01,130.5
1989-02-01,130.9
1989-03-01,131.1
1989-04-01,131.4
1989-05-01,131.7
1989-06-01,132.3
1989-07-01,133
1989-08-01,133.5
1989-09-01,133.9
1989-10-01,134.7
1989-11-01,135.2
1989-12-01,135.5
1990-01-01,135.8
1990-02-01,136
1990-03-01,136.5
1990-04-01,137
1990-05-01,137.3
1990-06-01,137.9
1990-07-01,138.7
1990-08-01,139.4
1990-09-01,140
1990-10-01,140.5
1990-11-01,140.7
1990-12-01,141.1
1991-01-01,141.2
1991-02-01,141.5
1991-03-01,142
1991-04-01,142.5
1991-05-01,142.8
1991-06-01,143
1991-07-01,143.7
1991-08-01,143.7
1991-09-01,144.6
1991-10-01,144.6
1991-11-01,145
1991-12-01,145.2
1992-01-01,145.4
1992-02-01,145.6
1992-03-01,146.4
1992-04-01,146.2
1992-05-01,146.3
1992-06-01,146.6
1992-07-01,147
1992-08-01,147
1992-09-01,147.2
1992-10-01,148
1992-11-01,148.6
1992-12-01,148.6
1993-01-01,148.9
1993-02-01,149.1
1993-03-01,149.1
1993-04-01,149.7
1993-05-01,149.9
1993-06-01,150.3
1993-07-01,150.4
1993-08-01,150.8
1993-09-01,151
1993-10-01,151.4
1993-11-01,151.6
1993-12-01,151.9
1994-01-01,152.2
1994-02-01,152.8
1994-03-01,153.2
1994-04-01,153.3
1994-05-01,153.3
1994-06-01,153.4
1994-07-01,153.9
1994-08-01,154.5
1994-09-01,155
1994-10-01,155.2
1994-11-01,155.6
1994-12-01,155.7
1995-01-01,156.1
1995-02-01,156.4
1995-03-01,156.7
1995-04-01,157
1995-05-01,157.2
1995-06-01,157.5
1995-07-01,157.9
1995-08-01,158.2
1995-09-01,158.5
1995-10-01,158.9
1995-11-01,159.3
1995-12-01,159.6
1996-01-01,160
1996-02-01,160.4
1996-03-01,160.6
1996-04-01,160.9
1996-05-01,161.2
1996-06-01,161.7
1996-07-01,162.2
1996-08-01,162.5
1996-09-01,162.9
1996-10-01,163.3
1996-11-01,163.7
1996-12-01,164
1997-01-01,164.4
1997-02-01,164.8
1997-03-01,165.1
1997-04-01,165.5
1997-05-01,165.9
1997-06-01,166.4
1997-07-01,166.8
1997-08-01,167.3
1997-09-01,167.8
1997-10-01,168.2
1997-11-01,168.7
1997-12-01,169.1
1998-01-01,169.5
1998-02-01,169.9
1998-03-01,170.3
1998-04-01,170.7
1998-05-01,171.1
1998-06-01,171.7
1998-07-01,172.2
1998-08-01,172.8
1998-09-01,173.4
1998-10-01,173.9
1998-11-01,174.5
1998-12-01,174.9
1999-01-01,175.3
1999-02-01,175.6
1999-03-01,176
1999-04-01,176.4
1999-05-01,176.7
1999-06-01,177.1
1999-07-01,177.5
1999-08-01,177.9
1999-09-01,178.4
1999-10-01,178.8
1999-11-01,179.8
1999-12-01,180.3
2000-01-01,181.1
2000-02-01,181.5
2000-03-01,182
2000-04-01,182.3
2000-05-01,182.7
2000-06-01,183.2
2000-07-01,183.9
2000-08-01,184.6
2000-09-01,185.3
2000-10-01,186.1
2000-11-01,186.8
2000-12-01,187.6
2001-01-01,188.2
2001-02-01,188.9
2001-03-01,189.6
2001-04-01,190.2
2001-05-01,191
2001-06-01,191.6
2001-07-01,192.3
2001-08-01,193.1
2001-09-01,193.9
2001-10-01,194.7
2001-11-01,195.5
2001-12-01,196.4
2002-01-01,197
2002-02-01,197.7
2002-03-01,198.2
2002-04-01,198.5
2002-05-01,198.8
2002-06-01,199.3
2002-07-01,199.8
2002-08-01,200.2
2002-09-01,200.7
2002-10-01,201.3
2002-11-01,202
2002-12-01,202.5
2003-01-01,203.3
2003-02-01,203.7
2003-03-01,204.1
2003-04-01,204.5
2003-05-01,204.9
2003-06-01,205.1
2003-07-01,205.6
2003-08-01,206.1
2003-09-01,206.6
2003-10-01,206.9
2003-11-01,207.5
2003-12-01,207.9
2004-01-01,208.3
2004-02-01,208.8
2004-03-01,209.2
2004-04-01,209.7
2004-05-01,210.2
2004-06-01,210.7
2004-07-01,211.2
2004-08-01,211.9
2004-09-01,212.4
2004-10-01,212.8
2004-11-01,213.2
2004-12-01,213.9
2005-01-01,214.5
2005-02-01,215
2005-03-01,215.5
2005-04-01,216
2005-05-01,216.4
2005-06-01,216.8
2005-07-01,217.5
2005-08-01,218
2005-09-01,218.6
2005-10-01,219.3
2005-11-01,220
2005-12-01,220.5
2006-01-01,220.9
2006-02-01,221.6
2006-03-01,222.3
2006-04-01,222.9
2006-05-01,223.6
2006-06-01,224.4
2006-07-01,225.2
2006-08-01,226.2
2006-09-01,227.1
2006-10-01,228
2006-11-01,228.9
2006-12-01,230
2007-01-01,230.806
2007-02-01,231.739
2007-03-01,232.495
2007-04-01,232.98
2007-05-01,233.549
2007-06-01,234.071
2007-07-01,234.732
2007-08-01,235.311
2007-09-01,236.058
2007-10-01,237.135
2007-11-01,238.169
2007-12-01,239.102
2008-01-01,239.85
2008-02-01,240.325
2008-03-01,240.874
2008-04-01,241.474
2008-05-01,241.803
2008-06-01,242.64
2008-07-01,243.367
2008-08-01,244.181
2008-09-01,244.926
2008-10-01,245.855
2008-11-01,246.681
2008-12-01,247.278
2009-01-01,247.974
2009-02-01,248.305
2009-03-01,248.639
2009-04-01,248.899
2009-05-01,249.069
2009-06-01,249.092
2009-07-01,248.994
2009-08-01,249.029
2009-09-01,248.965
2009-10-01,248.888
2009-11-01,248.886
2009-12-01,248.999
2010-01-01,249.144
2010-02-01,249.017
2010-03-01,249.089
2010-04-01,249.012
2010-05-01,248.925
2010-06-01,248.999
2010-07-01,249.126
2010-08-01,249.024
2010-09-01,249.368
2010-10-01,249.618
2010-11-01,250.317
2010-12-01,250.986
2011-01-01,251.555
2011-02-01,251.829
2011-03-01,252.145
2011-04-01,252.221
2011-05-01,252.393
2011-06-01,252.592
2011-07-01,253.085
2011-08-01,254.003
2011-09-01,254.628
2011-10-01,255.651
2011-11-01,256.367
2011-12-01,257.189
2012-01-01,257.714
2012-02-01,258.184
2012-03-01,258.569
2012-04-01,258.922
2012-05-01,259.231
2012-06-01,259.407
2012-07-01,260.107
2012-08-01,260.677
2012-09-01,261.421
2012-10-01,262.707
2012-11-01,263.365
2012-12-01,264.098
2013-01-01,264.7
2013-02-01,265.256
2013-03-01,265.821
2013-04-01,265.984
2013-05-01,266.559
2013-06-01,266.905
2013-07-01,267.482
2013-08-01,268.505
2013-09-01,269.137
2013-10-01,269.96
2013-11-01,270.698
2013-12-01,271.688
2014-01-01,272.317
2014-02-01,272.733
2014-03-01,273.486
2014-04-01,274.1
2014-05-01,274.71
2014-06-01,275.321
2014-07-01,276.248
2014-08-01,277.048
2014-09-01,277.998
2014-10-01,278.985
2014-11-01,280.123
2014-12-01,280.874
2015-01-01,281.572
2015-02-01,282.389
2015-03-01,283.13
2015-04-01,283.598
2015-05-01,284.245
2015-06-01,285.031
2015-07-01,286.09
2015-08-01,287.068
2015-09-01,288.306
2015-10-01,289.428
2015-11-01,290.322
2015-12-01,291.204
2016-01-01,292.004
2016-02-01,292.777
2016-03-01,293.489
2016-04-01,294.175
2016-05-01,295.036
2016-06-01,295.902
2016-07-01,296.862
2016-08-01,297.916
2016-09-01,298.962
2016-10-01,300.4
2016-11-01,301.587
2016-12-01,302.735
2017-01-01,303.467
2017-02-01,304.211
2017-03-01,304.868
2017-04-01,305.477
2017-05-01,306.379
2017-06-01,307.314
2017-07-01,308.173
2017-08-01,309.479
2017-09-01,310.268
2017-10-01,311.501
2017-11-01,312.67
2017-12-01,313.904
2018-01-01,314.788
2018-02-01,315.277
2018-03-01,315.883
2018-04-01,316.763
2018-05-01,317.49
2018-06-01,318.318
2018-07-01,319.351
2018-08-01,320.651
2018-09-01,321.533
2018-10-01,322.628
2018-11-01,323.968
2018-12-01,324.815
2019-01-01,325.597
2019-02-01,326.351
2019-03-01,327.513
2019-04-01,328.678
2019-05-01,329.333
2019-06-01,330.648
2019-07-01,331.605
2019-08-01,332.638
2019-09-01,333.834
2019-10-01,334.68
2019-11-01,335.819
2019-12-01,336.789
2020-01-01,337.825
2020-02-01,338.616
2020-03-01,339.519
2020-04-01,340.135
2020-05-01,340.811
2020-06-01,341.294
2020-07-01,341.95
2020-08-01,342.444
2020-09-01,342.91
2020-10-01,343.615
2020-11-01,344.039
2020-12-01,344.455
2021-01-01,344.758
2021-02-01,345.242
2021-03-01,345.717
2021-04-01,346.267
2021-05-01,347.016
2021-06-01,347.833
2021-07-01,348.469
2021-08-01,349.71
2021-09-01,351.255
2021-10-01,352.892
2021-11-01,354.526
2021-12-01,355.931
2022-01-01,357.737
2022-02-01,359.627
2022-03-01,361.083
2022-04-01,362.951
2022-05-01,365.116
2022-06-01,367.927
2022-07-01,370.448
2022-08-01,373.283
2022-09-01,376.569
2022-10-01,379.436
2022-11-01,382.562
2022-12-01,385.649
2023-01-01,388.372
2023-02-01,391.141
2023-03-01,392.91
2023-04-01,394.898
2023-05-01,396.726
2023-06-01,398.593
2023-07-01,400.21
2023-08-01,402.247
2023-09-01,404.487
2023-10-01,406.683
2023-11-01,408.838
